Commmon Name,Scientific name,Population,Taxon,Range,COSEWIC status,On Schedule 1 (Yes/No)?,SARA status,Action plan (Y/N/Proposed),Year,Multispecies?,Cost (per year),Number of species,Recovery measure,Action,RM,Both,Priority,Status and timeline,Partners,Terrestrial,Aquatic ,Threat or objective addressed,Multispecies Quality Control
American Black Bear,Ursus americanus,,Mammals (terrestrial),"British Columbia, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Not at Risk,No schedule,No Status,Y,2016,Y,0,41,Work with partners to reduce human induced mortality of bears by raising awareness in the local community about the uniqueness and vulnerability of this population.,1,0,0,0,2020,,1,0,Human-induced mortality,1
American Bumble Bee,Bombus pensylvanicus,,Arthropods,"Ontario, Quebec",Special Concern,No schedule,No Status,N,,,,,,,,,,,,,,,
American Burying Beetle,Nicrophorus americanus,,Arthropods,"Ontario, Quebec",Extirpated,Schedule 1,Extirpated,N,,,,,,,,,,,,,,,
American Chestnut,Castanea dentata,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered,N,,,,,,,,,,,,,,,
American Columbo,Frasera caroliniensis,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered,N,,,,,,,,,,,,,,,
American Coot,Fulica americana,,Birds,"British Columbia, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Not at Risk,No schedule,No Status,N,,,,,,,,,,,,,,,
American Eel,Anguilla rostrata,,Fishes (freshwater),"Prince Edward Island, Atlantic Ocean, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Threatened,No schedule,No Status,Y,2017,Y,0,12,,,,,,,,0,1,,
American Eel,Anguilla rostrata,,Fishes (freshwater),"Prince Edward Island, Atlantic Ocean, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Threatened,No schedule,No Status,Y,2016,Y,0,12,,,,,,,,0,1,,
American Eel,Anguilla rostrata,,Fishes (freshwater),"Prince Edward Island, Atlantic Ocean, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Threatened,No schedule,No Status,Y,2016,Y,0,14,Mitigate barriers to fish passage: Implement BMPs for fish passage at road crossings when culverts are replaced during road maintenance,1,0,0,0,Ongoing,0,0,1,Loss of freshwater habitat due to anthropogenic barriers (Wildlife Division 2010a),1
American Eel,Anguilla rostrata,,Fishes (freshwater),"Prince Edward Island, Atlantic Ocean, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Threatened,No schedule,No Status,Y,2017,Y,0,22,"Continue to involve the public in meaningful recovery actions for species at risk through collaboration with the Kejimkujik volunteer program (recruitment, training, support, capacity, recognition).",1,0,0,0,Annual (2016- 2020),0,0,1,Various threats.,1
American Eel,Anguilla rostrata,,Fishes (freshwater),"Prince Edward Island, Atlantic Ocean, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Threatened,No schedule,No Status,Y,2016,Y,0,28,,,,,,,,0,1,,
American Eel,Anguilla rostrata,,Fishes (freshwater),"Prince Edward Island, Atlantic Ocean, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Threatened,No schedule,No Status,Y,2016,Y,0,34,"Ensure provincial departments, conservation authorities and municipal governments are aware of SAR hotspots for consideration in official land-use plans. Provide input into development proposals that are referred by the Cataraqui Region Conservation Authority.",,0,1,0,Ongoing,0,0,1,Encourage the submission of all records for all turtle species to the province.,1
American Eel,Anguilla rostrata,,Fishes (freshwater),"Prince Edward Island, Atlantic Ocean, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Threatened,No schedule,No Status,Y,2016,Y,0,34,Remove early invasions of priority alien invasive plants from park wetlands.,1,0,0,0,"If invasion detected, the site will be visited annually for at least three years.",0,0,1,Exotic and invasive species,1
American Eel,Anguilla rostrata,,Fishes (freshwater),"Prince Edward Island, Atlantic Ocean, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Threatened,No schedule,No Status,Y,2016,Y,0,34,Re-survey Skoryna and Escott Rd wetlands to determine if Blanding's turtles are present.,0,1,0,0,2018,0,0,1,"Collect population, habitat and threat data to monitor turtles",0
American Eel,Anguilla rostrata,,Fishes (freshwater),"Prince Edward Island, Atlantic Ocean, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Threatened,No schedule,No Status,Y,2016,Y,0,34,Work with partners to promote the protection of key species dispersal habitats. Work in partnership with the Leeds and Grenville Stewardship Council on issues related to gray ratsnake outreach and species at risk protection.,1,0,0,0,Ongoing,0,0,1,"Promote protection of high ranking habitat parcels or networks through partners (municipalities, The Nature Conservancy of Canada, Ontario Parks, stewardship councils) and initiate acquisition, agreements, easements, etc.",1
American Ginseng,Panax quinquefolius,,Vascular Plants,"Ontario, Quebec",Endangered,Schedule 1,Endangered,Y,2016,Y,0,34,"Ensure provincial departments, conservation authorities and municipal governments are aware of SAR hotspots for consideration in official land-use plans. Provide input into development proposals that are referred by the Cataraqui Region Conservation Authority.",,0,1,0,Ongoing,,1,0,Encourage the submission of all records for all turtle species to the province.,1
American Ginseng,Panax quinquefolius,,Vascular Plants,"Ontario, Quebec",Endangered,Schedule 1,Endangered,Y,2016,Y,0,34,Work with partners to promote the protection of key species dispersal habitats. Work in partnership with the Leeds and Grenville Stewardship Council on issues related to gray ratsnake outreach and species at risk protection.,1,0,0,0,Ongoing,,1,0,"Promote protection of high ranking habitat parcels or networks through partners (municipalities, The Nature Conservancy of Canada, Ontario Parks, stewardship councils) and initiate acquisition, agreements, easements, etc.",1
American Hart's-tongue Fern,Asplenium scolopendrium  var. americanum,,Vascular Plants,Ontario,Special Concern,Schedule 1,Special Concern,N,,,,,,,,,,,,,,,
American Marten,Martes americana  atrata,Newfoundland population,Mammals (terrestrial),Newfoundland and Labrador,Threatened,Schedule 1,Threatened,Y,2017,Y,0,12,"Explore effectiveness of mitigation methods to reduce amount of road mortality on the Trans Canada Highway (e.g., oversized culverts/underpasses, vegetated zones, road salt alternatives or reductions)",0,1,0,0,2017-2021,,1,0,Road construction (Environment Canada 2013); Habitat loss or degradation (Environment Canada 2006); Disturbance (including natural disturbances and fire) (COSEWIC 2002; Environment and Climate Change Canada 2016),1
American Marten,Martes americana  atrata,Newfoundland population,Mammals (terrestrial),Newfoundland and Labrador,Threatened,Schedule 1,Threatened,Y,2017,Y,0,12,"Restore boreal forest and species at risk habitat through moose population reduction, prescribed burns, and replanting of target species",1,0,0,0,2017-2019,,1,0,Habitat loss and/or degradation (Environment Canada 2013); Reduction of fir regeneration due to moose browse (Environment Canada 2010),1
American Marten,Martes americana  atrata,Newfoundland population,Mammals (terrestrial),Newfoundland and Labrador,Threatened,Schedule 1,Threatened,Y,2017,Y,0,12,"Work with partners to reduce accidental trapping in the greater ecosystem by increasing use of modified trapping and snaring techniques that comply with regulations for differentially designated zones outside the park (i.e., using 22 gauge brass wire for Snowshoe Hare, no land-based traps in category two areas) and adopting marten-friendly trapping techniques (e.g., floating mink boxes)",1,0,0,0,2017-2021,,1,0,Trapping and snaring (Environment Canada 2013),1
American Marten,Martes americana  atrata,Newfoundland population,Mammals (terrestrial),Newfoundland and Labrador,Threatened,Schedule 1,Threatened,Y,2016,Y,0,14,"Habitat Mapping: update GIS land cover maps for GMNP, then, in conjunction with island-wide efforts, use updated classification to map suitable and critical habitat for marten",0,1,0,0,2016,,1,0,Map critical habitat and other suitable habitat throughout GMNP,1
American Marten,Martes americana  atrata,Newfoundland population,Mammals (terrestrial),Newfoundland and Labrador,Threatened,Schedule 1,Threatened,Y,2016,Y,0,14,Moose population management: Reduce moose populations and maintain them at the target density of 1-2 moose/ km2,1,0,0,0,Ongoing,,1,0,"Habitat loss and degradation (Parks Canada 2011, Environment Canada 2013b)",0
American Marten,Martes americana  atrata,Newfoundland population,Mammals (terrestrial),Newfoundland and Labrador,Threatened,Schedule 1,Threatened,Y,2016,Y,0,14,Snaring Regulations: Develop initiatives to promote compliance with brass / picture cord snare wire regulations in GMNP and adjacent areas,1,0,0,0,Ongoing,,1,0,Reduce risk of incidental mortality during snowshoe hare snaring (high level threat; Environment Canada 2013),1
American Plaice,Hippoglossoides platessoides,Arctic population,Fishes (marine),Arctic Ocean,Data Deficient,No schedule,No Status,N,,,,,,,,,,,,,,,
American Plaice,Hippoglossoides platessoides,Maritime population,Fishes (marine),Atlantic Ocean,Threatened,No schedule,No Status,N,,,,,,,,,,,,,,,
American Plaice,Hippoglossoides platessoides,Newfoundland and Labrador population,Fishes (marine),Atlantic Ocean,Threatened,No schedule,No Status,N,,,,,,,,,,,,,,,
American Water-willow,Justicia americana,,Vascular Plants,"Ontario, Quebec",Threatened,Schedule 1,Threatened,Y,2016,Y,0,67, Indigenous Traditional Knowledge: Engage the Caldwell First Nation and the Walpole Island First Nation to collaboratively develop and implement methods to meaningfully incorporate ATK into management practices for SAR at PPNP and NNHS.,,,1,0,Ongoing,,1,0,Increased engagement and incorporation of ATK into management practices for SAR.,1
American Water-willow,Justicia americana,,Vascular Plants,"Ontario, Quebec",Threatened,Schedule 1,Threatened,Y,2016,Y,0,67,Invasive Species Management Plan: Produce and implement invasive species management plan for PPNP to target priority species that would alter species at risk habitat.,,,1,0,2021,,1,0,Threat of invasive species ,1
American Water-willow,Justicia americana,,Vascular Plants,"Ontario, Quebec",Threatened,Schedule 1,Threatened,Y,2016,Y,0,67,"Phragmites Removal: Strategically remove priority invasive, alien plants such as Phragmites australis in PPNP wetlands to protect species at risk and their critical habitat.",1,,,0,Ongoing,,1,0,Threat of loss of habitat from the European Common Reed (Phragmites australis),1
American Water-willow,Justicia americana,,Vascular Plants,"Ontario, Quebec",Threatened,Schedule 1,Threatened,Y,2016,Y,0,67,"PPNP Marsh Management Plan: Address major threats (hydrology, water quality, invasive plants and wildlife, lack of interspersion) and assess potential for re-introduction of Spotted Turtle",,1,,0,2021,,1,0,"Threat of degradation of wetlands through loss of water quality, nutrient and sediment loading and exotic/invasive plants",1
American White Pelican,Pelecanus erythrorhynchos,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba, Ontario",Not at Risk,No schedule,No Status,N,,,,,,,,,,,,,,,
Ancient Murrelet,Synthliboramphus antiquus,,Birds,"British Columbia, Pacific Ocean",Special Concern,Schedule 1,Special Concern,Y,2018,Y,0,26,Develop and implement an online and new media strategy,,0,1,0,Ongoing,,1,0,Public awareness of and support for participation in recovery,1
Ancient Murrelet,Synthliboramphus antiquus,,Birds,"British Columbia, Pacific Ocean",Special Concern,Schedule 1,Special Concern,Y,2018,Y,0,26,Visitor awareness and compliance: Develop and implement media strategy.,,0,1,0,Ongoing,,1,0,Public awareness of and support for participation in recovery.,1
Ancient Murrelet,Synthliboramphus antiquus,,Birds,"British Columbia, Pacific Ocean",Special Concern,Schedule 1,Special Concern,Y,2018,Y,0,26,Visitor awareness and compliance: Incorporate species at risk monitoring and recovery into visitor opportunities.,0,0,1,0,Ongoing,,1,0,Public awareness of and support for participation in recovery.,1
Ancient Murrelet,Synthliboramphus antiquus,,Birds,"British Columbia, Pacific Ocean",Special Concern,Schedule 1,Special Concern,Y,2018,Y,0,26,Visitor awareness and compliance: Work with partners to promote the protection of key species and ecosystems.,1,0,0,0,Ongoing,,1,0,Public awareness of and support for participation in recovery.,1
Ancient Murrelet,Synthliboramphus antiquus,,Birds,"British Columbia, Pacific Ocean",Special Concern,Schedule 1,Special Concern,Y,2015,Y,0,40,Augment access restrictions at high priority seabird colonies,1,0,0,0,2017,,1,0,Human disturbance or harm; ensure that zoning and public land use restrictions currently in place for Ancient Murrelet colonies are actively monitored and enforced,1
Ancient Murrelet,Synthliboramphus antiquus,,Birds,"British Columbia, Pacific Ocean",Special Concern,Schedule 1,Special Concern,Y,2015,Y,0,40,Develop citizen science partnerships with interested tour operators to collect survey / inventory data on select species (including species at risk and introduced species),0,1,0,0,2018,,1,0,Support data collection efforts for all species that require data on GH populations for recovery and management planning and monitoring,1
Ancient Murrelet,Synthliboramphus antiquus,,Birds,"British Columbia, Pacific Ocean",Special Concern,Schedule 1,Special Concern,Y,2015,Y,0,40,"Early detection and biosecurity maintenance: use remote cameras to monitor seabird nesting colonies for new nonnative mammal incursions/ invasions (rats, racoons) so as to implement removals before they are established",0,0,1,0,"High priority isls every 3 years, secondary priority isls every 5 years;",,1,0,predators remain predator-free. Ancient Murrelet and Cassin’s Auklet colonies on treated islands are reestablished (if extirpated) or are increasing Investigate and implement costeffective introduced predator monitoring techniques to track predator activity and ensure that predators are not re-introduced in restored colonies,1
Ancient Murrelet,Synthliboramphus antiquus,,Birds,"British Columbia, Pacific Ocean",Special Concern,Schedule 1,Special Concern,Y,2015,Y,0,40,"Oil spill preparedness - planning, prioritizing sensitive sites for species at risk protection, equipment acquisition and deployment, staff training",,1,,0,"Some aspects ongoing, others by 2020",,1,0,"Oil spills, pollution",1
Ancient Murrelet,Synthliboramphus antiquus,,Birds,"British Columbia, Pacific Ocean",Special Concern,Schedule 1,Special Concern,Y,2015,Y,0,40,Outreach to prevent burrow trampling and to mitigate at-sea light disturbance to seabird colonies during the breeding season (mid-March to mid-June),1,0,0,0,2018,,1,0,Human disturbance or harm; develop and distribute pro-active and targeted educational material on the risks associated with nocturnal lights near seabird colonies (both land based structures and anchored vessels),1
Ancient Murrelet,Synthliboramphus antiquus,,Birds,"British Columbia, Pacific Ocean",Special Concern,Schedule 1,Special Concern,Y,2015,Y,0,40,"Prevent spread or incursion/reinvasion of rats by engaging visitors (through mandatory GH visitor orientation and through business licencing), boaters and the fishing industry",1,0,0,0,Ongoing,,1,0,Develop and distribute pro-active and targeted educational material on the risks of mammalian predator introduction,1
Ancient Murrelet,Synthliboramphus antiquus,,Birds,"British Columbia, Pacific Ocean",Special Concern,Schedule 1,Special Concern,Y,2015,Y,0,40,Update information on seabird colony status on islands in GH to guide conservation and recovery action decisions,0,1,0,0,Starting in 2016 and ongoing,,1,0,Establish baseline monitoring protocols to assess population size and status at each colony location (active and historic); implement protocols to track changes in the species’ population and distribution. Short term: attention should be paid to large west coast colonies (not re-surveyed since 1980s),1
Annual Saltmarsh Aster,Symphyotrichum subulatum,,Vascular Plants,"Prince Edward Island, Quebec, New Brunswick",Not at Risk,,Special Concern,N,,,,,,,,,,,,,,,
Anticosti Aster,Symphyotrichum anticostense,,Vascular Plants,"Quebec, New Brunswick",Special Concern,Schedule 1,Threatened,N,,,,,,,,,,,,,,,
Arctic Grey Wolf,Canis lupus  arctos,,Mammals (terrestrial),"Northwest Territories, Nunavut",Data Deficient,No schedule,No Status,N,,,,,,,,,,,,,,,
Athabasca Thrift,Armeria maritima  ssp. interior,,Vascular Plants,Saskatchewan,Special Concern,Schedule 1,Special Concern,N,,,,,,,,,,,,,,,
Atlantic Bluefin Tuna,Thunnus thynnus,,Fishes (marine),Atlantic Ocean,Endangered,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Cod,Gadus morhua,Arctic Lakes population,Fishes (marine),Nunavut,Special Concern,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Cod,Gadus morhua,Arctic Marine population,Fishes (marine),Atlantic Ocean,Data Deficient,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Cod,Gadus morhua,Arctic population,Fishes (marine),Arctic Ocean,Non-active,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Cod,Gadus morhua,Laurentian North population,Fishes (marine),Atlantic Ocean,Endangered,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Cod,Gadus morhua,Laurentian South population,Fishes (marine),Atlantic Ocean,Endangered,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Cod,Gadus morhua,Maritimes population,Fishes (marine),Atlantic Ocean,Non-active,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Cod,Gadus morhua,Newfoundland and Labrador population,Fishes (marine),Atlantic Ocean,Endangered,No,No Status,Y,2017,Y,0,12,Obtain dark sky preserve status for TNNP.,1,,,0,2018,0,0,1,Habitat and species conservation and management (Environment and Climate Change Canada 2016),1
Atlantic Cod,Gadus morhua,Southern population,Fishes (marine),Atlantic Ocean,Endangered,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Cod,Gadus morhua,,Fishes (marine),Atlantic Ocean,Non-active,,Special Concern,N,,,,,,,,,,,,,,,
Atlantic Halibut,Hippoglossus hippoglossus,,Fishes (marine),Atlantic Ocean,Not at Risk,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Mud-piddock,Barnea truncata,,Molluscs,Atlantic Ocean,Threatened,Schedule 1,Threatened,N,,,,,,,,,,,,,,,
Atlantic Salmon,Salmo salar,Anticosti Island population,Fishes (marine),"Atlantic Ocean, Quebec",Endangered,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Salmon,Salmo salar,Eastern Cape Breton population,Fishes (marine),"Atlantic Ocean, Nova Scotia",Endangered,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Salmon,Salmo salar,Gaspe-Southern Gulf of St. Lawrence population,Fishes (marine),"Prince Edward Island, Atlantic Ocean, Quebec, New Brunswick, Nova Scotia",Special Concern,No schedule,No Status,Y,2016,Y,0,28,,,,,,,,0,1,,
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes (marine),"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Yes,Endangered,Y,2019,N,0,1,"Annually collect and analyze tissue samples to monitor the rate of loss of genetic variation for Big Salmon, Gaspereau, and Stewiacke river populations.",,1,,Medium,Underway / Annually,0,0,1,Loss of genetic diversity,1
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes (marine),"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Yes,Endangered,Y,2019,N,0,1,"Annually collect wild-exposed iBoF Salmon to maintain a large effective population size for each of the four principal LGB populations: Big Salmon, Stewiacke, Gaspereau and Point Wolfe rivers",1,,,High,Underway / Annually,0,0,1,Loss of genetic diversity; maintenance of minimum effective population sizes; depressed population phenomenon,1
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes (marine),"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Yes,Endangered,Y,2019,N,0,1,"Assess annual status of the Big Salmon River wild Salmon population.
 a. Monitor smolts
 b. Monitor adults
 c. Calculate return rates",,1,,High,Underway / Continuous &,0,0,1,Assessment of population sustainability and progress towards,1
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes (marine),"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Yes,Endangered,Y,2019,N,0,1,"Assess the success of LGB strategies in Point Wolfe and Upper Salmon rivers by
 a. Monitor smolts to assess effectiveness of strategies in river
 b. Monitor adult returns to assess effectiveness of strategies in marine environment",,1,, High,Underway / frequency to be evaluated,0,0,1,Extinction/extirpation of iBoF Salmon populations,1
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes (marine),"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Yes,Endangered,Y,2019,N,0,1,Assess the success of various LGB strategies on the Big Salmon River.,,1,,High,Underway (frequency needs to be evaluated),0,0,1,Conservation of the genetic characteristics of iBoF Salmon,1
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes (marine),"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Yes,Endangered,Y,2019,N,0,1,Collect wild-exposed individuals from the cross-breeding experiment on the Petitcodiac River for possible integration into the NB portion of the LGB.,1,,,Medium,Completed,0,0,1,loss of adaptive traits by inbreeding /,1
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes (marine),"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Yes,Endangered,Y,2019,N,0,1,Communicate key milestones in recovery and new knowledge and discoveries.,,,,Low,"Underway /
 Continuous",0,0,1,Lack of public awareness / knowledge,1
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes (marine),"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Yes,Endangered,Y,2019,N,0,1,Continue the iBoF Salmon Live Gene Bank (LGB) program with ongoing activities at Mactaquac and Coldbrook Biodiversity Facilities.,,1,,High,"Underway / Continuous ,Annual assessment activities and program reviews on a 5-year cycle",0,0,1,Conserve the genetic characteristics of iBoF Salmon; Depressed population phenomenon,1
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes (marine),"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Yes,Endangered,Y,2019,N,0,1,Continue the work of multi-stakeholder forums that develop and share information to support stakeholders in leading restoration and enhancement activities.,,,1,Medium,Underway / Continuous,0,0,1,Degradation of freshwater habitat,1
